,x,y
622,2.8569,-2.5537
623,2.8813,-2.5642
624,2.905,-2.5742
625,2.9293,-2.5847
626,2.9543,-2.5957
627,2.9797,-2.6066
628,3.005,-2.6174
629,3.0297,-2.6279
630,3.0543,-2.6381
631,3.079,-2.6486
632,3.1026,-2.6585
633,3.1266,-2.668
634,3.1509,-2.6774
635,3.175,-2.6869
636,3.1991,-2.6958
637,3.2223,-2.7042
638,3.2444,-2.7127
639,3.267,-2.722
640,3.2901,-2.7317
641,3.3134,-2.7412
642,3.3363,-2.7506
643,3.3581,-2.7597
644,3.3794,-2.7683
645,3.4019,-2.7772
646,3.4253,-2.7862
647,3.4484,-2.7956
648,3.4712,-2.8047
649,3.4931,-2.8134
650,3.5144,-2.8218
651,3.5366,-2.8304
652,3.5594,-2.8392
653,3.5819,-2.848
654,3.6037,-2.8566
655,3.6249,-2.8642
656,3.6456,-2.8712
657,3.6672,-2.8782
658,3.6892,-2.8853
659,3.7111,-2.8922
660,3.7332,-2.8985
661,3.7552,-2.9039
662,3.7763,-2.9091
663,3.7982,-2.9147
664,3.8209,-2.9207
665,3.8438,-2.927
666,3.8668,-2.933
667,3.8897,-2.9387
668,3.9119,-2.9444
669,3.9344,-2.9508
670,3.956,-2.9573
671,3.9782,-2.9641
672,4.0014,-2.9711
673,4.0253,-2.9777
674,4.049,-2.9842
675,4.0723,-2.9901
676,4.095,-2.9958
677,4.1185,-3.0013
678,4.1418,-3.0064
679,4.1654,-3.0121
680,4.1896,-3.0179
681,4.2137,-3.0237
682,4.237,-3.0295
683,4.2597,-3.0352
684,4.2833,-3.0414
685,4.3078,-3.0482
686,4.3332,-3.055
687,4.3587,-3.0616
688,4.3838,-3.0675
689,4.4081,-3.0731
690,4.433,-3.0789
691,4.4578,-3.0853
692,4.4821,-3.0914
693,4.5069,-3.0971
694,4.5329,-3.103
695,4.5605,-3.1086
696,4.5889,-3.1137
697,4.617,-3.1186
698,4.646,-3.1235
699,4.675,-3.1286
700,4.7028,-3.1343
701,4.7297,-3.14
702,4.757,-3.1454
703,4.7853,-3.1505
704,4.8139,-3.1554
705,4.8416,-3.1604
706,4.8703,-3.165
707,4.9001,-3.1692
708,4.9295,-3.1735
709,4.9585,-3.1777
710,4.9883,-3.182
711,5.0191,-3.1861
712,5.0498,-3.1899
713,5.0801,-3.1936
714,5.1114,-3.1973
715,5.1435,-3.2011
716,5.1759,-3.2049
717,5.2084,-3.2085
718,5.2405,-3.2121
719,5.273,-3.2159
720,5.306,-3.2197
721,5.3395,-3.2233
722,5.3729,-3.2267
723,5.4058,-3.2298
724,5.44,-3.2326
725,5.4759,-3.2349
726,5.5127,-3.237
727,5.5494,-3.2392
728,5.5865,-3.241
729,5.6253,-3.2421
730,5.6652,-3.2432
731,5.7053,-3.2441
732,5.745,-3.245
733,5.7855,-3.246
734,5.8261,-3.2472
735,5.8668,-3.2485
736,5.9088,-3.2496
737,5.9515,-3.2507
738,5.9948,-3.2516
739,6.0398,-3.2516
740,6.0855,-3.2511
741,6.1315,-3.2503
742,6.1789,-3.2489
743,6.2268,-3.2474
744,6.275,-3.246
745,6.3246,-3.2441
746,6.3757,-3.2412
747,6.4279,-3.2377
748,6.482,-3.233
749,6.5376,-3.2277
750,6.5943,-3.2218
751,6.6523,-3.2153
752,6.7118,-3.2085
753,6.773,-3.2011
754,6.8354,-3.1932
755,6.8993,-3.1848
756,6.964,-3.1762
757,7.0299,-3.1666
758,7.0974,-3.1559
759,7.1659,-3.1444
760,7.2355,-3.1317
761,7.3065,-3.1174
762,7.3784,-3.1014
763,7.4509,-3.0833
764,7.5236,-3.0632
765,7.5966,-3.0404
766,7.6694,-3.015
767,7.7425,-2.9862
768,7.8153,-2.9544
769,7.8871,-2.9202
770,7.9583,-2.8829
771,8.0286,-2.8431
772,8.098,-2.8002
773,8.1661,-2.7551
774,8.233,-2.7074
775,8.2982,-2.6577
776,8.3619,-2.6057
777,8.4237,-2.5523
778,8.4839,-2.4969
779,8.5423,-2.4401
780,8.5992,-2.3815
781,8.6544,-2.3217
782,8.7076,-2.2613
783,8.759,-2.1999
784,8.8086,-2.1378
785,8.8568,-2.0747
786,8.9033,-2.011
787,8.9484,-1.9464
788,8.9919,-1.8815
789,9.0339,-1.816
790,9.0747,-1.7496
791,9.1141,-1.6833
792,9.1524,-1.6176
793,9.1897,-1.5531
794,9.2251,-1.4926
