,x,y
566,0.9695,-1.424
567,1.0227,-1.4737
568,1.0765,-1.5233
569,1.1303,-1.5724
570,1.1847,-1.6215
571,1.2396,-1.6703
572,1.2953,-1.7193
573,1.3513,-1.7679
574,1.4079,-1.8164
575,1.4647,-1.8644
576,1.5219,-1.9122
577,1.5791,-1.9593
578,1.6367,-2.0062
579,1.6943,-2.0525
580,1.7527,-2.0987
581,1.8112,-2.1444
582,1.8695,-2.1893
583,1.928,-2.2336
584,1.9865,-2.2774
585,2.0456,-2.3209
586,2.1047,-2.3638
587,2.1643,-2.4064
588,2.2239,-2.4482
589,2.2838,-2.4897
590,2.3444,-2.5309
591,2.405,-2.5713
592,2.4661,-2.6115
593,2.528,-2.6513
594,2.5899,-2.6906
595,2.6521,-2.7292
596,2.7142,-2.7672
597,2.7765,-2.8045
598,2.8387,-2.8411
599,2.9013,-2.8772
600,2.9643,-2.9128
601,3.0283,-2.9481
602,3.0929,-2.983
603,3.1576,-3.0172
604,3.223,-3.051
605,3.289,-3.0843
606,3.3559,-3.1173
607,3.4232,-3.1496
608,3.4912,-3.1815
609,3.5594,-3.2126
610,3.6282,-3.2432
611,3.697,-3.2731
612,3.7663,-3.3023
613,3.8358,-3.3308
614,3.906,-3.3587
615,3.9766,-3.386
616,4.0469,-3.4123
617,4.1174,-3.4379
618,4.1881,-3.4627
619,4.2593,-3.4868
620,4.3308,-3.5101
621,4.4028,-3.5327
622,4.4747,-3.5543
623,4.5471,-3.5752
624,4.6202,-3.5953
625,4.6933,-3.6145
626,4.767,-3.6328
627,4.8414,-3.6503
628,4.9159,-3.6667
629,4.9906,-3.6822
630,5.065,-3.6966
631,5.1394,-3.71
632,5.2135,-3.7223
633,5.2879,-3.7334
634,5.3624,-3.7434
635,5.4377,-3.7522
636,5.5134,-3.7598
637,5.5889,-3.7661
638,5.6647,-3.771
639,5.7407,-3.7746
640,5.8173,-3.7767
641,5.8938,-3.7774
642,5.9705,-3.7765
643,6.0468,-3.7742
644,6.1232,-3.7703
645,6.1989,-3.7649
646,6.2745,-3.7578
647,6.3495,-3.7491
648,6.4247,-3.7386
649,6.4994,-3.7264
650,6.5731,-3.7127
651,6.6463,-3.6973
652,6.7188,-3.6803
653,6.791,-3.6613
654,6.8627,-3.6406
655,6.934,-3.618
656,7.0044,-3.5938
657,7.0745,-3.5677
658,7.1443,-3.5395
659,7.2134,-3.5098
660,7.2821,-3.4781
661,7.3506,-3.4443
662,7.4184,-3.4089
663,7.4855,-3.3718
664,7.5515,-3.3334
665,7.6168,-3.2934
666,7.6811,-3.252
667,7.7447,-3.209
668,7.8077,-3.1644
669,7.8704,-3.1176
670,7.9327,-3.0692
671,7.9939,-3.0197
672,8.0546,-2.9684
673,8.1146,-2.9156
674,8.1741,-2.861
675,8.2328,-2.8053
676,8.2908,-2.748
677,8.3477,-2.69
678,8.4037,-2.6307
679,8.4585,-2.5708
680,8.5123,-2.5099
681,8.565,-2.4484
682,8.6167,-2.3858
683,8.6673,-2.3225
684,8.7165,-2.2593
685,8.7644,-2.1956
686,8.811,-2.1316
687,8.8566,-2.0669
688,8.9009,-2.002
689,8.9442,-1.9366
690,8.9861,-1.8713
691,9.0269,-1.8056
692,9.0668,-1.7392
693,9.1054,-1.6732
